State,Wage,Cost
AL,0.0899,86.7
AK,0.0899,104.4
AZ,0.0899,96.4
AR,0.0899,86.5
CA,0.0899,114.8
CO,0.0899,103.2
CT,0.0899,108
DE,0.0899,100.1
FL,0.0899,99.9
GA,0.0899,92.5
HI,0.0899,118.5
ID,0.0899,93
IL,0.0899,98.5
IN,0.0899,89.8
IA,0.0899,89.8
KS,0.0899,90
KY,0.0899,87.9
LA,0.0899,90.1
ME,0.0899,98.4
MD,0.0899,109.4
MA,0.0899,107.9
MI,0.0899,93
MN,0.0899,97.5
MS,0.0899,85.7
MO,0.0899,89.5
MT,0.0899,94.6
NE,0.0899,89.6
NV,0.0899,97.6
NH,0.0899,105.8
NJ,0.0899,112.9
NM,0.0899,93.3
NY,0.0899,115.8
NC,0.0899,91.3
ND,0.0899,90.1
OH,0.0899,88.9
OK,0.0899,89
OR,0.0899,99.5
PA,0.0899,97.9
RI,0.0899,98.6
SC,0.0899,90.4
SD,0.0899,88.2
TN,0.0899,90.4
TX,0.0899,97
UT,0.0899,97
VT,0.0899,102.5
VA,0.0899,102.1
WA,0.0899,106.4
WV,0.0899,87
WI,0.0899,92.4
WY,0.0899,95.2
